Number,Measure,Preamble,Question,Options,ReverseCoded,OriginalNumber,id
24,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",4. I think that others won't approve of me.,"Not at all,A little,Moderately,Very much so",0,4,sticsa_t.4
25,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",5. I feel like I'm missing out on things because I can't make up my mind soon enough.,"Not at all,A little,Moderately,Very much so",0,5,sticsa_t.5
26,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",6. I feel dizzy.,"Not at all,A little,Moderately,Very much so",0,6,sticsa_t.6
27,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",7. My muscles feel weak.,"Not at all,A little,Moderately,Very much so",0,7,sticsa_t.7
28,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",8. I feel trembly and shaky.,"Not at all,A little,Moderately,Very much so",0,8,sticsa_t.8
29,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",9. I picture some future misfortune.,"Not at all,A little,Moderately,Very much so",0,9,sticsa_t.9
30,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",10. I can't get some thought out of my mind.,"Not at all,A little,Moderately,Very much so",0,10,sticsa_t.10
31,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",11. I have trouble remembering things.,"Not at all,A little,Moderately,Very much so",0,11,sticsa_t.11
32,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",12. My face feels hot.,"Not at all,A little,Moderately,Very much so",0,12,sticsa_t.12
33,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",13. I think that the worst will happen.,"Not at all,A little,Moderately,Very much so",0,13,sticsa_t.13
34,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",14. My arms and legs feel stiff.,"Not at all,A little,Moderately,Very much so",0,14,sticsa_t.14
35,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",15. My throat feels dry.,"Not at all,A little,Moderately,Very much so",0,15,sticsa_t.15
36,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",16. I keep busy to avoid uncomfortable thoughts.,"Not at all,A little,Moderately,Very much so",0,16,sticsa_t.16
37,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",17. I cannot concentrate without irrelevant thoughts intruding.,"Not at all,A little,Moderately,Very much so",0,17,sticsa_t.17
38,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",18. My breathing is fast and shallow.,"Not at all,A little,Moderately,Very much so",0,18,sticsa_t.18
39,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",19. I worry that I cannot control my thoughts as well as I would like to.,"Not at all,A little,Moderately,Very much so",0,19,sticsa_t.19
40,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",20. I have butterflies in the stomach.,"Not at all,A little,Moderately,Very much so",0,20,sticsa_t.20
41,STICSA_T,"Below is a list of statements which can be used to describe how people feel. For each statement there are four answers which indicate how often each statement is true of you (e.g., not at all, very much so). Please read each statement carefully and select the answer which best indicates how often, <span class='bold_text'>in general</span>, the statement is true of you.",21. My palms feel clammy.,"Not at all,A little,Moderately,Very much so",0,21,sticsa_t.21
42,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,1. Unforeseen events upset me greatly.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,1,ius.1
43,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,2. It frustrates me not having all the information I need.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,2,ius.2
44,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,3. Uncertainty keeps me from living a full life.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,3,ius.3
45,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,4. One should always look ahead so as to avoid surprises.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,4,ius.4
46,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,"5. A small unforeseen event can spoil everything, even with the best of planning.","Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,5,ius.5
47,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,"6. When it's time to act, uncertainty paralyses me.","Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,6,ius.6
48,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,7. When I am uncertain I can't function very well.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,7,ius.7
49,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,8. I always want to know what the future has in store for me.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,8,ius.8
50,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,9. I can't stand being taken by surprise.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,9,ius.9
51,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,10. The smallest doubt can stop me from acting.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,10,ius.10
52,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,11. I should be able to organize everything in advance.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,11,ius.11
53,IUS_12,Please select the answer that best corresponds to how much you agree with each item.,12. I must get away from all uncertain situations.,"Not at all characteristic of me,A little characteristic of me,Somewhat characteristic of me,Very characteristic of me,Entirely characteristic of me",0,12,ius.12
54,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",My mind is as clear as it used to be.,"A little of the time,Some of the time,Good part of the time,Most of the time",1,11,zung.11
55,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",I find it easy to do the things I used to,"A little of the time,Some of the time,Good part of the time,Most of the time",1,12,zung.12
56,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",I am restless and can't keep still.,"A little of the time,Some of the time,Good part of the time,Most of the time",0,13,zung.13
57,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",I feel hopeful about the future,"A little of the time,Some of the time,Good part of the time,Most of the time",1,14,zung.14
58,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",I find it easy to make decisions,"A little of the time,Some of the time,Good part of the time,Most of the time",1,16,zung.16
59,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",I feel that I am useful and needed.,"A little of the time,Some of the time,Good part of the time,Most of the time",1,17,zung.17
60,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days", My life is pretty full.,"A little of the time,Some of the time,Good part of the time,Most of the time",1,18,zung.18
61,Zhung,"For each item below, please select the answer which best describes how often you felt or behaved this way during the past several days",I still enjoy the things I used to do,"A little of the time,Some of the time,Good part of the time,Most of the time",1,20,zung.20
62,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I have saved up so many things that they get in the way,"Not at all,A little,Moderately,A lot,Extremely",0,1,ocir.1
63,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I check things more often than necessary.,"Not at all,A little,Moderately,A lot,Extremely",0,2,ocir.2
64,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I feel compelled to count while I am doing things,"Not at all,A little,Moderately,A lot,Extremely",0,4,ocir.4
65,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I find it difficult to control my own thoughts,"Not at all,A little,Moderately,A lot,Extremely",0,6,ocir.6
66,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I collect things I don't need,"Not at all,A little,Moderately,A lot,Extremely",0,7,ocir.7
67,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I get upset if others change the way I have arranged things,"Not at all,A little,Moderately,A lot,Extremely",0,9,ocir.9
68,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I sometimes have to wash or clean myself simply because I feel contaminated,"Not at all,A little,Moderately,A lot,Extremely",0,11,ocir.11
69,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I am upset by unpleasant thoughts that come into my mind against my will,"Not at all,A little,Moderately,A lot,Extremely",0,12,ocir.12
70,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I avoid throwing things away because I am afraid I might need them later.,"Not at all,A little,Moderately,A lot,Extremely",0,13,ocir.13
71,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I feel that there are good and bad numbers.,"Not at all,A little,Moderately,A lot,Extremely",0,16,ocir.16
72,OCIR,The following statements refer to experiences that many people have in their everyday lives.  Circle the number that best describes HOW MUCH that experience has DISTRESSED or BOTHERED you during the PAST MONTH.,I frequently get nasty thoughts and have difficulty in getting rid of them,"Not at all,A little,Moderately,A lot,Extremely",0,18,ocir.18
73,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Participating in small groups,"None,Mild,Moderate,Severe",0,2,leb.2
74,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Eating in public places,"None,Mild,Moderate,Severe",0,3,leb.3
75,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Drinking with others in public places,"None,Mild,Moderate,Severe",0,4,leb.4
76,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Urinating in a public bathroom,"None,Mild,Moderate,Severe",0,13,leb.13
77,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Entering a room when others are already seated.,"None,Mild,Moderate,Severe",0,14,leb.14
78,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Being the center of attention,"None,Mild,Moderate,Severe",0,15,leb.15
79,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Looking at people you don't know very well in the eyes,"None,Mild,Moderate,Severe",0,19,leb.19
80,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Trying to pick up someone,"None,Mild,Moderate,Severe",0,21,leb.21
81,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Returning goods to a store,"None,Mild,Moderate,Severe",0,22,leb.22
82,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Giving a party,"None,Mild,Moderate,Severe",0,23,leb.23
83,LSAS_A,Select the item that represents how fearful or anxious you would feel in each situation,Resisting a high pressure salesperson,"None,Mild,Moderate,Severe",0,24,leb.24
84,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Eating in public places,"Never,Occasionally,Often,Usually",0,27,leb.27
85,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Talking to people in authority,"Never,Occasionally,Often,Usually",0,29,leb.29
86,LSAS_B,Select the item that represents how much you would wish to avoid each situation,"Acting, performing or giving a talk in front of an audience","Never,Occasionally,Often,Usually",0,30,leb.30
87,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Going to a party,"Never,Occasionally,Often,Usually",0,31,leb.31
88,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Working while being observed,"Never,Occasionally,Often,Usually",0,32,leb.32
89,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Talking with people you don't know very well,"Never,Occasionally,Often,Usually",0,35,leb.35
90,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Being the center of attention,"Never,Occasionally,Often,Usually",0,39,leb.39
91,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Speaking up at a meeting,"Never,Occasionally,Often,Usually",0,40,leb.40
92,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Trying to pick up someone,"Never,Occasionally,Often,Usually",0,45,leb.45
93,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Returning goods to a store,"Never,Occasionally,Often,Usually",0,46,leb.46
94,LSAS_B,Select the item that represents how much you would wish to avoid each situation,Resisting a high pressure salesperson,"Never,Occasionally,Often,Usually",0,48,leb.48
95,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I plan tasks carefully,"Rarely/Never,Occasionally,Often,Almost always/Always",1,1,bis.1
96,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I have 'racing' thoughts,"Rarely/Never,Occasionally,Often,Almost always/Always",0,6,bis.6
97,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I concentrate easily,"Rarely/Never,Occasionally,Often,Almost always/Always",1,9,bis.9
98,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I plan for job security,"Rarely/Never,Occasionally,Often,Almost always/Always",1,13,bis.13
99,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I say things without thinking.,"Rarely/Never,Occasionally,Often,Almost always/Always",0,14,bis.14
100,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I like to think about complex problems.,"Rarely/Never,Occasionally,Often,Almost always/Always",1,15,bis.15
101,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I act 'on impulse' ,"Rarely/Never,Occasionally,Often,Almost always/Always",0,17,bis.17
102,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I am a steady thinker,"Rarely/Never,Occasionally,Often,Almost always/Always",1,20,bis.20
103,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I buy things on impulse,"Rarely/Never,Occasionally,Often,Almost always/Always",0,22,bis.22
104,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I spend or charge more than I earn,"Rarely/Never,Occasionally,Often,Almost always/Always",0,25,bis.25
105,BIS,People differ in the ways they act and think in different situations.  These questions measure some of the ways in which you act and think.  Read each statement and select the appropriate answer.,I often have extraneous thoughts when thinking,"Rarely/Never,Occasionally,Often,Almost always/Always",0,26,bis.26
106,AUDIT,These questions ask about your alcohol intake. Please select the appropriate option.,How often do you have a drink containing alcohol?,"Never,Monthly or less,2-4 times a month,2-3 times a week,4 or more times a week",0,1,alcohol.1
107,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am terrified about being overweight,"Always,Usually,Often,Sometimes,Rarely,Never  ",0,1,eat.1
108,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am preoccupied with a desire to be thinner,"Always,Usually,Often,Sometimes,Rarely,Never  ",0,11,eat.11
109,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I think about burning up calories when I exercise,"Always,Usually,Often,Sometimes,Rarely,Never  ",0,12,eat.12
110,EAT,The following questions ask you about your eating habits. Please select the appropriate response.,I am preoccupied with the thought of having fat on my body,"Always,Usually,Often,Sometimes,Rarely,Never  ",0,14,eat.14
